age,sex,studytime,schoolsup,famsup,paid,Fedu,Medu,failures,absences,higher,internet,avg_grade
15,F,2,no,yes,no,2,4,0,0,yes,yes,15.0
15,M,1,no,no,no,2,4,0,4,yes,no,9.0
15,F,1,yes,yes,no,4,4,0,0,yes,yes,12.0
15,F,1,no,no,no,3,3,0,0,yes,yes,13.0
16,F,2,no,no,no,1,2,0,2,yes,yes,12.0
15,F,2,no,yes,no,3,4,0,0,yes,yes,15.0
15,M,2,no,yes,no,4,4,0,8,yes,no,15.0
15,M,2,yes,yes,no,2,1,0,0,yes,yes,14.0
16,F,2,no,yes,yes,2,4,0,2,yes,yes,16.0
16,F,2,no,yes,no,4,4,0,0,yes,no,16.0
16,F,1,yes,yes,no,1,1,0,0,yes,yes,12.0
16,F,2,yes,no,no,2,1,0,0,yes,yes,12.0
16,F,3,yes,yes,no,3,4,0,0,yes,yes,13.0
15,F,2,yes,no,no,3,4,0,0,yes,yes,12.0
16,F,2,no,yes,no,3,4,0,2,yes,yes,16.0
15,M,4,no,yes,no,4,4,0,0,yes,yes,12.0
16,F,4,yes,yes,no,1,3,0,0,yes,yes,10.0
15,F,2,yes,yes,no,2,2,0,0,yes,yes,11.0
15,F,4,no,yes,no,1,3,0,6,yes,yes,15.0
16,M,4,no,yes,no,1,3,0,2,yes,yes,12.0
15,M,4,no,no,no,2,4,0,0,yes,yes,10.0
15,F,2,yes,yes,no,1,1,0,2,yes,yes,12.0
16,M,1,no,no,no,1,3,0,0,yes,no,13.0
16,F,2,yes,yes,no,3,3,0,4,yes,yes,11.0
15,M,2,no,yes,no,3,4,0,0,yes,yes,11.0
15,M,4,no,no,no,0,4,0,0,yes,yes,11.0
16,F,4,no,no,no,2,2,0,1,yes,yes,13.0
17,M,1,yes,yes,no,1,2,3,0,no,yes,9.0
16,F,2,no,yes,no,4,3,0,14,yes,yes,11.0
15,M,1,yes,yes,no,3,2,0,0,yes,yes,11.0
15,M,3,yes,no,no,3,2,0,2,yes,yes,9.0
15,F,2,no,yes,no,2,3,0,4,yes,yes,11.0
15,M,2,no,no,yes,2,2,0,2,yes,yes,13.0
15,F,2,no,yes,no,1,1,0,2,yes,yes,12.0
15,F,2,no,no,no,4,4,0,4,yes,yes,12.0
16,F,2,no,yes,no,2,2,0,6,yes,no,12.0
15,F,3,no,yes,no,2,4,0,4,yes,yes,15.0
16,M,2,no,no,no,2,2,0,6,yes,yes,11.0
16,M,2,no,yes,no,4,4,0,6,yes,no,9.0
16,F,3,no,yes,no,3,3,0,2,yes,yes,10.0
15,F,1,no,no,no,3,4,0,6,yes,yes,13.0
16,F,2,yes,yes,no,1,3,0,0,yes,no,12.0
16,F,2,no,yes,no,2,4,0,2,yes,yes,14.0
15,M,4,no,yes,no,2,2,0,2,yes,yes,12.0
15,F,4,yes,yes,yes,1,1,0,4,yes,yes,13.0
16,M,1,yes,yes,yes,3,4,0,6,yes,yes,10.0
16,F,2,no,yes,no,1,2,0,0,yes,no,12.0
16,F,1,no,no,no,4,4,0,4,yes,yes,13.0
16,F,3,yes,yes,no,3,4,0,2,yes,yes,13.0
16,M,1,yes,yes,no,4,4,0,12,yes,yes,9.0
16,M,3,no,yes,no,4,4,0,0,yes,yes,16.0
15,M,1,no,yes,yes,4,4,0,2,yes,yes,12.0
15,F,2,yes,yes,no,2,3,0,16,yes,yes,10.0
15,M,2,no,yes,no,4,3,0,0,yes,yes,16.0
15,F,4,yes,no,no,3,3,0,10,yes,no,10.0
15,F,4,yes,yes,no,2,2,0,4,yes,yes,10.0
16,M,3,no,yes,no,3,3,0,4,yes,yes,14.0
15,M,4,no,yes,no,4,4,0,8,yes,yes,11.0
16,F,3,no,yes,no,4,4,0,2,yes,yes,15.0
15,M,1,no,no,no,4,4,0,4,yes,yes,14.0
16,F,3,yes,yes,no,3,3,0,4,yes,yes,11.0
16,F,2,yes,no,no,2,2,1,12,yes,yes,9.0
15,M,1,no,no,no,2,4,0,10,yes,yes,18.0
15,M,2,no,no,no,1,2,0,4,yes,yes,10.0
16,M,2,no,yes,no,4,4,0,6,yes,yes,15.0
15,M,2,no,yes,no,4,4,0,4,yes,no,16.0
16,M,1,no,no,no,3,3,0,6,yes,yes,14.0
17,M,2,no,yes,no,3,1,1,14,yes,yes,11.0
15,M,1,no,no,no,4,3,0,2,yes,yes,14.0
15,F,2,no,no,no,2,1,0,0,yes,yes,14.0
15,M,4,no,yes,no,2,2,0,6,yes,yes,13.0
16,F,2,no,yes,no,4,2,0,2,yes,yes,13.0
16,M,1,no,yes,no,4,4,0,4,yes,yes,13.0
16,F,2,no,no,no,2,2,0,0,yes,yes,11.0
15,M,1,yes,no,no,4,3,0,2,yes,yes,9.0
15,F,2,yes,no,no,4,3,0,0,yes,yes,11.0
19,F,2,no,yes,no,1,0,2,0,no,no,10.0
16,M,1,no,no,no,4,4,0,8,yes,yes,14.0
16,M,3,no,yes,no,3,2,0,4,yes,yes,13.0
15,F,3,no,yes,no,4,3,0,0,yes,yes,11.0
18,F,2,no,yes,no,1,2,3,10,no,yes,9.0
17,F,1,no,yes,no,1,2,0,8,yes,yes,11.0
15,F,1,no,yes,no,1,1,0,6,yes,yes,12.0
17,F,1,no,yes,no,2,2,0,2,yes,yes,12.0
16,F,1,no,no,no,4,3,0,12,yes,yes,14.0
16,M,1,no,no,no,1,2,0,4,yes,no,10.0
16,F,1,no,no,no,2,2,1,12,yes,no,12.0
15,M,2,no,yes,no,4,3,0,2,yes,no,11.0
15,F,3,no,yes,no,4,4,0,4,yes,yes,14.0
17,M,2,no,no,no,4,3,0,2,yes,no,10.0
16,F,2,no,yes,no,1,1,0,0,yes,no,13.0
18,M,1,no,no,no,1,3,0,2,yes,yes,11.0
18,F,3,no,yes,no,2,3,0,10,yes,yes,11.0
16,F,1,no,yes,no,1,1,0,8,yes,no,11.0
16,F,1,no,yes,no,3,3,0,4,yes,yes,9.0
16,M,2,no,no,no,1,1,2,0,yes,no,10.0
15,F,1,no,no,no,4,4,0,6,yes,yes,14.0
15,F,1,no,no,no,1,1,1,2,yes,yes,9.0
15,M,4,yes,yes,no,3,4,0,6,yes,yes,10.0
15,F,2,no,no,no,3,3,0,24,yes,no,9.0
16,M,3,no,yes,no,4,4,0,0,yes,yes,14.0
16,M,1,no,yes,no,2,2,0,4,yes,yes,11.0
15,F,3,no,yes,no,4,4,0,2,yes,yes,13.0
16,F,1,no,no,no,1,1,0,4,yes,yes,11.0
17,M,1,no,yes,no,1,2,0,22,yes,yes,7.0
15,F,2,no,yes,no,1,1,0,0,yes,yes,12.0
15,F,1,no,yes,no,1,2,0,0,no,yes,10.0
15,F,2,no,yes,no,2,3,1,2,yes,yes,11.0
15,F,2,no,yes,no,2,1,0,6,yes,yes,13.0
15,F,2,no,no,no,2,1,0,6,yes,no,11.0
16,M,1,no,yes,no,4,4,0,16,no,yes,9.0
15,M,1,no,no,no,1,2,0,0,yes,yes,11.0
16,M,1,no,no,no,1,2,1,6,yes,no,10.0
15,F,3,no,yes,yes,3,3,0,2,yes,yes,13.0
19,M,1,no,yes,no,2,3,0,6,no,yes,10.0
17,F,1,yes,yes,no,4,4,0,0,yes,no,13.0
15,M,2,yes,no,yes,3,2,0,0,yes,no,8.0
17,M,1,no,no,no,2,1,3,14,yes,no,9.0
18,F,1,no,yes,no,1,1,3,6,yes,no,11.0
16,M,1,no,no,no,2,2,0,4,yes,no,11.0
16,M,2,no,yes,no,3,3,1,0,yes,yes,7.0
16,M,1,no,no,no,2,1,2,0,yes,yes,9.0
17,M,1,no,no,yes,1,2,1,8,no,yes,8.0
17,M,2,yes,yes,no,2,3,2,4,yes,yes,7.0
15,M,1,no,no,no,2,1,0,2,yes,no,9.0
16,M,1,no,no,no,3,1,1,2,no,yes,8.0
17,M,2,no,no,no,1,1,0,0,no,no,8.0
17,M,1,no,yes,no,2,3,3,10,no,no,8.0
16,M,2,no,no,no,2,2,0,0,no,yes,10.0
16,F,2,no,no,no,2,4,0,0,yes,yes,17.0
16,F,2,no,yes,no,2,2,0,0,yes,yes,12.0
16,F,2,no,yes,no,4,4,0,0,yes,yes,16.0
16,M,1,no,yes,no,4,3,1,4,yes,yes,9.0
16,M,2,no,yes,no,0,1,0,0,yes,yes,17.0
17,M,2,no,yes,no,4,4,0,0,yes,yes,10.0
16,F,2,no,no,no,3,1,0,0,yes,yes,13.0
16,F,2,no,yes,no,3,3,0,0,yes,yes,14.0
17,M,2,no,no,no,3,4,0,0,yes,yes,11.0
16,F,2,no,no,no,2,2,0,0,yes,yes,13.0
17,M,2,no,no,no,3,3,0,4,yes,yes,10.0
16,M,1,no,yes,no,2,4,0,8,yes,yes,10.0
17,M,2,no,yes,yes,3,4,0,4,yes,yes,12.0
16,M,2,no,yes,yes,3,4,0,4,yes,yes,11.0
16,M,2,no,no,no,3,3,0,0,yes,yes,12.0
17,F,2,no,yes,no,4,2,0,0,yes,no,17.0
17,F,2,no,yes,no,3,3,0,32,yes,yes,14.0
16,F,2,no,yes,no,2,3,0,8,yes,yes,15.0
17,M,2,no,yes,no,3,3,0,6,yes,yes,13.0
16,M,1,no,yes,no,2,1,0,0,yes,yes,10.0
16,M,2,no,no,no,1,2,0,0,yes,yes,14.0
17,F,2,no,yes,no,3,3,0,10,yes,yes,13.0
17,M,2,no,no,no,2,1,0,6,yes,no,9.0
16,F,2,no,no,no,3,2,0,6,yes,yes,12.0
17,F,2,no,no,no,1,1,0,0,yes,yes,12.0
17,M,2,no,no,no,2,1,0,16,yes,yes,11.0
16,M,1,no,yes,no,3,3,0,0,yes,yes,10.0
16,M,1,no,no,no,3,2,0,0,yes,yes,12.0
17,F,2,no,no,no,4,2,0,8,yes,yes,15.0
17,M,1,no,no,no,4,4,0,4,yes,yes,13.0
16,M,1,no,yes,no,3,3,0,16,yes,yes,11.0
17,F,1,no,yes,no,4,4,1,30,yes,yes,15.0
16,F,2,no,yes,no,4,4,0,0,yes,yes,11.0
16,F,2,no,yes,no,3,4,0,2,yes,yes,14.0
16,F,2,yes,yes,no,3,2,0,4,yes,no,12.0
17,F,2,no,yes,no,1,1,0,0,yes,no,15.0
17,F,1,no,yes,no,2,2,0,21,yes,yes,13.0
16,F,4,no,yes,no,2,2,0,6,yes,yes,13.0
17,F,3,no,yes,yes,4,3,1,14,yes,yes,8.0
16,F,2,no,yes,no,1,3,0,2,yes,yes,11.0
16,F,2,no,no,no,3,4,0,4,yes,yes,15.0
16,F,1,no,yes,no,1,1,0,2,yes,no,13.0
17,F,3,no,yes,no,3,4,0,0,yes,yes,12.0
19,F,4,no,yes,no,3,3,0,4,yes,yes,12.0
17,M,2,no,yes,no,4,4,0,15,yes,yes,12.0
16,F,2,yes,yes,no,2,2,0,0,yes,yes,13.0
18,M,2,no,yes,no,2,2,0,10,yes,yes,11.0
17,F,1,no,yes,no,4,4,0,6,yes,no,11.0
17,F,2,no,no,no,2,3,0,2,yes,yes,15.0
17,F,2,no,no,no,3,4,0,16,yes,yes,10.0
18,M,2,no,yes,no,3,3,0,10,yes,yes,10.0
17,F,1,no,yes,no,3,2,0,4,yes,no,13.0
17,F,3,no,yes,no,2,2,0,0,yes,yes,12.0
17,F,2,no,yes,no,1,2,0,0,yes,yes,11.0
17,F,3,no,yes,no,1,1,0,12,yes,no,12.0
16,F,2,yes,no,no,3,2,0,0,yes,yes,13.0
18,M,2,no,yes,yes,2,2,3,9,yes,yes,10.0
16,F,3,no,yes,no,4,4,0,4,yes,yes,16.0
18,F,2,no,no,no,1,3,0,4,yes,yes,8.0
17,F,2,no,no,no,2,3,0,2,yes,yes,17.0
17,M,2,no,yes,no,3,2,0,0,yes,yes,11.0
18,M,2,yes,yes,no,1,2,0,2,yes,yes,10.0
17,F,3,no,no,no,1,2,0,0,yes,yes,15.0
17,F,2,no,no,no,3,4,0,0,yes,yes,13.0
17,M,2,no,yes,no,2,2,0,0,yes,yes,13.0
17,M,2,yes,yes,no,4,4,0,0,yes,yes,13.0
16,M,2,no,yes,no,4,4,0,0,yes,yes,13.0
16,M,2,no,yes,no,1,1,0,2,yes,yes,9.0
16,M,3,no,no,no,2,3,0,0,yes,yes,12.0
17,M,2,no,no,no,2,2,0,0,yes,yes,16.0
16,F,1,no,no,no,1,2,0,4,yes,yes,10.0
16,F,2,no,no,no,1,4,0,0,yes,yes,13.0
18,F,2,no,yes,no,4,2,1,18,yes,yes,10.0
18,F,2,no,yes,no,2,2,1,16,yes,yes,9.0
18,F,1,no,no,no,3,3,1,14,no,yes,7.0
18,M,1,no,yes,no,2,2,1,26,no,yes,8.0
17,M,1,no,yes,no,4,4,0,6,yes,yes,9.0
17,F,2,no,no,no,2,3,0,4,yes,no,14.0
17,F,3,no,yes,no,1,1,0,10,yes,yes,10.0
16,F,1,no,no,no,2,1,0,4,no,yes,11.0
17,F,2,no,no,no,1,2,0,2,yes,no,13.0
17,F,1,no,yes,no,4,1,1,14,yes,yes,9.0
18,M,2,no,no,no,2,2,0,16,no,yes,8.0
17,F,1,no,yes,no,2,2,1,8,no,yes,10.0
17,F,3,no,no,no,1,1,0,4,yes,yes,15.0
17,F,2,no,yes,no,2,4,0,4,yes,no,14.0
17,M,2,no,no,no,3,4,0,8,yes,yes,15.0
17,M,2,no,yes,no,4,4,0,0,yes,yes,12.0
16,M,1,no,no,no,3,4,0,7,yes,yes,14.0
16,M,1,no,no,yes,4,4,0,4,yes,yes,15.0
17,F,2,no,yes,yes,4,4,0,2,yes,yes,11.0
17,M,3,no,no,no,1,1,0,2,yes,yes,14.0
17,F,3,no,yes,no,3,3,0,10,yes,yes,11.0
17,F,2,yes,no,no,1,1,0,10,yes,no,10.0
18,F,3,no,yes,no,1,2,0,10,yes,yes,11.0
16,M,1,no,no,no,1,2,0,7,yes,yes,16.0
17,F,2,no,yes,no,1,1,0,4,yes,no,11.0
17,M,1,no,no,no,3,2,0,2,yes,yes,11.0
22,M,1,no,no,no,1,3,3,12,no,yes,7.0
18,M,2,no,yes,no,3,3,0,8,yes,yes,10.0
16,M,1,no,no,no,2,0,0,0,yes,yes,11.0
18,M,1,no,no,no,2,3,0,8,no,yes,7.0
16,M,2,yes,yes,no,3,3,1,4,yes,yes,10.0
18,M,1,no,no,no,1,2,2,4,no,yes,7.0
16,M,1,no,no,no,1,2,0,2,yes,no,13.0
17,M,1,no,no,no,1,2,0,0,yes,yes,12.0
17,M,1,no,yes,no,1,1,1,0,yes,yes,10.0
18,F,2,no,yes,no,1,2,0,2,yes,yes,12.0
17,F,4,no,yes,no,2,4,0,2,yes,yes,15.0
19,F,2,no,yes,no,2,2,0,0,yes,yes,10.0
18,M,2,no,no,no,1,2,1,4,no,yes,11.0
17,F,3,no,yes,no,2,4,0,2,yes,yes,12.0
18,F,3,no,yes,no,1,1,0,4,yes,no,12.0
18,F,2,yes,no,no,2,2,0,4,yes,no,12.0
19,M,2,no,yes,no,3,4,0,4,yes,yes,13.0
18,M,2,no,no,no,1,2,0,2,yes,yes,16.0
17,M,1,no,no,no,2,2,0,0,no,no,10.0
17,F,4,no,no,no,2,2,0,2,yes,yes,11.0
20,F,2,no,yes,yes,1,2,0,8,no,yes,11.0
18,F,2,no,yes,no,3,4,0,2,yes,yes,15.0
18,M,2,no,yes,no,3,4,0,2,yes,yes,10.0
18,M,3,no,no,no,2,3,0,2,yes,no,11.0
17,F,3,no,no,no,3,3,0,2,yes,no,13.0
18,F,3,no,yes,no,2,2,0,0,yes,yes,12.0
17,M,1,no,no,no,2,2,0,8,no,yes,8.0
18,M,2,no,yes,no,4,3,0,6,yes,yes,16.0
17,M,2,no,no,no,1,3,0,0,yes,yes,12.0
18,F,2,no,no,no,4,4,0,8,yes,yes,11.0
18,M,2,no,yes,no,2,4,0,4,yes,yes,12.0
18,F,2,no,yes,no,1,2,0,12,no,yes,9.0
19,F,2,no,yes,no,3,3,0,16,yes,yes,12.0
18,F,4,no,yes,no,3,2,0,10,yes,yes,16.0
18,F,2,no,yes,no,1,1,0,2,yes,no,13.0
17,M,2,no,yes,no,2,1,0,2,yes,no,17.0
18,F,2,no,yes,no,1,2,0,8,yes,yes,14.0
17,F,2,no,yes,no,4,2,0,6,yes,yes,16.0
17,F,2,yes,yes,no,2,2,0,6,yes,yes,12.0
18,F,2,no,no,no,2,3,0,15,no,yes,10.0
18,M,1,no,no,no,4,4,0,6,yes,yes,12.0
18,F,2,yes,yes,no,4,4,1,2,yes,yes,13.0
17,F,3,no,yes,no,2,2,0,8,yes,yes,14.0
19,F,2,yes,yes,no,2,3,1,0,no,yes,9.0
18,M,1,no,no,no,3,4,0,0,yes,yes,10.0
18,M,1,no,no,no,2,1,0,10,no,yes,10.0
17,M,1,no,no,no,1,4,0,22,yes,yes,11.0
17,M,1,no,no,no,2,3,0,18,yes,yes,13.0
18,F,4,no,yes,no,1,1,0,2,yes,no,17.0
18,F,2,yes,no,no,1,1,0,0,yes,yes,13.0
17,F,2,no,yes,no,2,2,0,12,yes,yes,13.0
18,F,2,no,no,no,1,2,0,10,yes,yes,13.0
17,M,2,no,no,no,1,1,0,0,yes,yes,12.0
18,F,3,no,yes,no,2,2,0,0,yes,yes,18.0
17,F,3,no,yes,no,1,1,0,0,yes,yes,13.0
18,M,3,no,no,no,1,2,0,0,yes,yes,15.0
18,M,2,no,yes,no,4,4,0,0,yes,yes,17.0
18,M,2,no,yes,no,2,4,0,2,yes,yes,16.0
17,F,3,no,yes,no,3,4,0,0,yes,yes,18.0
17,F,4,no,yes,no,1,3,0,0,yes,no,19.0
18,M,3,no,yes,no,2,3,0,0,yes,yes,15.0
17,M,1,no,yes,no,3,3,0,0,yes,yes,15.0
19,F,2,no,yes,no,4,4,0,2,yes,yes,13.0
18,F,2,no,yes,no,3,4,0,0,yes,yes,14.0
18,F,4,no,yes,no,3,4,0,0,yes,yes,17.0
18,M,1,no,yes,no,4,4,0,0,yes,yes,18.0
18,F,2,no,yes,yes,4,4,0,0,yes,yes,15.0
17,M,1,no,no,no,4,4,0,0,yes,yes,13.0
17,F,3,no,yes,no,4,4,0,0,yes,yes,7.0
17,F,3,no,yes,no,2,4,0,0,yes,yes,16.0
17,F,4,no,yes,no,2,3,0,0,yes,yes,18.0
19,M,3,no,no,no,1,2,1,0,yes,yes,10.0
20,M,1,no,no,no,2,3,2,0,yes,no,15.0
19,M,2,no,no,no,3,3,0,0,yes,no,10.0
18,F,2,yes,yes,no,4,1,0,2,yes,no,10.0
18,F,2,no,yes,no,1,2,0,2,yes,yes,13.0
17,F,2,no,no,no,3,2,0,2,yes,yes,12.0
17,F,1,no,no,no,4,4,0,2,yes,yes,16.0
18,F,3,no,yes,no,3,4,0,2,yes,yes,15.0
18,F,1,no,yes,no,3,4,0,8,yes,yes,13.0
17,F,3,no,yes,no,4,3,0,2,yes,yes,16.0
18,F,2,no,yes,no,3,3,0,8,yes,yes,12.0
19,M,2,no,yes,no,2,4,0,9,yes,yes,10.0
18,F,2,no,yes,no,4,4,0,0,yes,yes,12.0
18,F,1,no,yes,no,4,3,0,4,yes,yes,12.0
17,F,1,no,no,no,4,4,0,2,yes,yes,15.0
17,F,2,no,yes,no,3,4,0,14,yes,yes,15.0
17,F,2,yes,yes,no,3,3,0,0,yes,yes,12.0
17,F,2,no,no,no,1,2,0,2,yes,yes,12.0
18,M,1,no,yes,no,4,4,0,2,yes,yes,9.0
19,F,3,no,no,no,1,1,0,12,no,no,10.0
19,F,2,no,yes,no,1,1,2,2,yes,yes,8.0
18,F,1,no,yes,no,2,2,0,2,yes,yes,10.0
17,F,2,no,yes,no,2,2,0,4,yes,no,13.0
17,F,3,no,yes,no,2,2,0,0,yes,yes,11.0
17,F,3,no,yes,no,1,3,0,0,yes,yes,17.0
17,F,3,no,no,no,2,0,0,0,yes,yes,14.0
18,F,3,no,no,no,1,1,0,0,yes,yes,14.0
18,M,3,no,no,no,4,4,0,0,yes,yes,13.0
17,M,1,no,no,no,3,3,0,0,yes,yes,17.0
17,M,1,no,yes,no,2,2,0,2,yes,yes,10.0
17,F,3,no,yes,no,4,4,0,0,yes,yes,13.0
17,F,3,no,yes,no,4,4,0,4,yes,yes,15.0
17,F,1,no,yes,yes,3,3,0,2,yes,yes,11.0
18,M,4,no,yes,yes,2,2,0,0,yes,yes,11.0
19,M,1,no,yes,no,2,3,0,0,yes,no,10.0
18,F,2,no,no,no,2,2,0,2,yes,no,10.0
17,F,3,no,yes,no,4,2,0,0,yes,yes,15.0
18,M,1,no,no,no,2,2,0,6,yes,yes,15.0
18,F,2,no,no,no,3,3,0,8,yes,yes,11.0
18,F,2,no,no,no,2,2,0,0,yes,yes,10.0
18,F,4,no,no,no,2,2,0,6,yes,no,14.0
17,F,3,no,no,no,4,3,0,8,yes,yes,13.0
17,F,2,no,yes,no,2,3,0,0,yes,yes,13.0
18,F,4,no,yes,no,3,3,0,4,yes,yes,14.0
17,F,2,no,yes,no,2,3,0,0,yes,yes,15.0
18,M,2,no,yes,no,4,4,0,0,yes,yes,12.0
18,M,2,no,no,no,4,3,0,6,yes,yes,16.0
17,F,2,no,yes,no,2,2,0,18,yes,yes,12.0
18,F,3,no,yes,no,3,2,0,0,yes,yes,12.0
18,F,3,no,no,no,2,3,0,4,yes,yes,16.0
18,M,3,no,no,no,3,4,0,4,yes,yes,15.0
18,M,3,no,yes,no,3,4,0,0,yes,yes,14.0
17,F,3,no,yes,no,3,4,0,0,yes,yes,12.0
17,F,2,no,yes,no,1,2,0,10,yes,yes,14.0
17,F,2,no,yes,no,1,2,0,4,yes,yes,15.0
19,F,1,no,no,no,3,2,1,16,no,yes,11.0
17,F,1,no,yes,yes,1,3,1,6,yes,yes,12.0
21,F,3,no,no,yes,4,4,2,0,yes,yes,11.0
18,M,2,no,yes,no,2,2,0,11,no,yes,11.0
18,M,2,no,no,no,4,3,0,9,yes,yes,14.0
17,F,2,no,yes,no,2,2,0,0,yes,yes,16.0
17,M,3,no,yes,no,4,4,0,2,yes,yes,14.0
18,F,2,no,yes,no,2,4,0,0,yes,yes,16.0
21,M,2,no,yes,no,1,1,2,21,no,yes,10.0
20,F,3,no,no,no,1,1,0,8,yes,yes,14.0
19,F,1,no,yes,no,4,4,1,5,yes,yes,10.0
17,M,2,no,yes,no,2,3,0,10,yes,yes,17.0
18,F,3,no,yes,no,2,3,0,5,yes,yes,16.0
18,M,1,no,no,no,3,2,0,13,yes,yes,14.0
19,M,1,no,no,no,1,2,0,10,yes,yes,10.0
18,F,2,no,yes,no,2,2,0,10,yes,yes,16.0
20,F,1,yes,no,no,0,1,1,5,yes,yes,9.0
18,F,2,no,yes,no,2,3,0,4,yes,yes,12.0
16,F,1,no,yes,no,3,1,0,11,no,yes,11.0
16,F,2,no,yes,no,2,2,0,0,yes,yes,12.0
15,F,1,no,yes,no,1,1,1,6,yes,no,10.0
15,F,1,no,yes,no,3,3,0,4,yes,yes,10.0
16,F,2,no,no,no,3,2,0,0,yes,no,17.0
15,F,1,no,no,no,1,2,0,0,no,no,8.0
16,M,2,no,yes,no,4,4,0,5,yes,no,11.0
16,M,3,yes,no,no,2,1,0,0,yes,yes,11.0
17,F,2,no,no,no,2,3,1,0,yes,no,10.0
17,F,1,no,yes,no,1,1,1,0,no,yes,6.0
15,F,1,no,no,no,4,4,0,0,yes,yes,14.0
16,F,4,no,no,no,2,2,0,4,no,no,10.0
15,F,2,no,yes,no,1,1,0,0,yes,yes,10.0
15,F,1,no,yes,no,1,1,1,4,yes,yes,7.0
16,F,1,no,yes,no,2,0,0,0,yes,no,12.0
17,F,1,no,yes,no,3,2,0,2,yes,yes,11.0
15,F,1,no,no,no,3,3,0,0,yes,yes,15.0
17,M,2,no,no,yes,1,1,0,4,yes,yes,9.0
15,M,2,no,yes,no,1,4,0,0,yes,yes,13.0
15,M,2,no,yes,no,1,4,0,7,yes,yes,8.0
16,M,2,no,no,no,4,3,0,4,yes,no,10.0
15,M,2,no,yes,no,1,1,0,8,yes,no,8.0
15,M,2,no,yes,no,3,3,0,0,yes,yes,11.0
17,M,1,no,no,no,1,2,0,8,no,no,9.0
16,F,3,no,no,no,4,4,0,6,yes,yes,16.0
15,F,1,no,no,no,2,1,0,3,yes,no,12.0
16,F,2,no,yes,no,3,2,0,2,yes,yes,15.0
16,M,2,no,no,no,2,1,0,0,yes,no,11.0
16,F,2,no,yes,no,2,2,0,4,yes,yes,10.0
16,F,3,no,yes,no,2,1,1,0,yes,no,9.0
16,F,3,no,yes,no,2,1,1,3,yes,no,8.0
15,F,2,yes,yes,no,1,2,0,0,yes,yes,9.0
16,F,2,no,yes,no,1,1,0,0,yes,no,14.0
